Unnamed: 0,question,answer,questions_german,answers_german
3289,so?,that means it gets twice as much traffic.,so?,"Das bedeutet, dass es doppelt so viel Verkehr bekommt."
3290,that means it gets twice as much traffic.,you're right.,"Das bedeutet, dass es doppelt so viel Verkehr bekommt.",Sie haben Recht.
3291,you're right.,"when you're inside, you will always hear cars stopping and stopping at the intersection.",Sie haben Recht.,"Wenn Sie sich in der Umgebung befinden, werden Sie immer Autos hören, die an der"
3292,"when you're inside, you will always hear cars stopping and stopping at the intersection.",or you'll hear the collision if someone doesn't stop.,"Wenn Sie sich in der Umgebung befinden, werden Sie immer Autos hören, die an der","oder Sie werden die Kollision hören, wenn jemand nicht aufhört."
3293,or you'll hear the collision if someone doesn't stop.,or you'll see the collision if they crash into the house.,"oder Sie werden die Kollision hören, wenn jemand nicht aufhört.","oder Sie werden die Kollision sehen, wenn sie in das Haus abstürzen."
3294,or you'll see the collision if they crash into the house.,let's find a house that's at the end of a dead end.,"oder Sie werden die Kollision sehen, wenn sie in das Haus abstürzen.","- es gibt ein Haus, das am Ende einer Sackgasse liegt."
3295,let's find a house that's at the end of a dead end.,"that's perfect. the less traffic, the better.","- es gibt ein Haus, das am Ende einer Sackgasse liegt.","Sehr freundliches Personal, freundliches Personal, freundliches Personal"
3296,i hate looking for an apartment.,"me, too.",i have a very good room and a good breakfast.,Auch ich.
3297,"me, too.",we have a 2 o'clock appointment to see the one on main street.,Auch ich.,"Sehr freundliches Personal, freundliches Personal, freundliches Personal"
3298,we have a 2 o'clock appointment to see the one on main street.,we'd better get ready to go.,"Sehr freundliches Personal, freundliches Personal, freundliches Personal","Wir würden uns besser bereiten, zu gehen."
3299,we'd better get ready to go.,it's an upstairs unit.,"Wir würden uns besser bereiten, zu gehen.",The room was very clean and the room was very clean.
3300,it's an upstairs unit.,"that's good, because i don't want to live under people with loud feet.",The room was very clean and the room was very clean.,"Das ist gut, denn ich will nicht unter Menschen mit lauten Füßen leben."
3301,"that's good, because i don't want to live under people with loud feet.",and it's a corner unit.,"Das ist gut, denn ich will nicht unter Menschen mit lauten Füßen leben.",und es ist eine Eckeinheit.
3302,and it's a corner unit.,that's great. we won't have neighbors on both sides of us.,und es ist eine Eckeinheit.,"Das ist großartig, wir werden keine Nachbarn auf beiden Seiten haben."
3303,that's great. we won't have neighbors on both sides of us.,no pets are allowed.,"Das ist großartig, wir werden keine Nachbarn auf beiden Seiten haben.",keine Haustiere sind erlaubt.
3304,no pets are allowed.,perfect. we don't have to listen to barking dogs.,keine Haustiere sind erlaubt.,"Sehr gut, wir müssen nicht auf riechende Hunde hören."
3305,perfect. we don't have to listen to barking dogs.,and there are only six units in the whole building.,"Sehr gut, wir müssen nicht auf riechende Hunde hören.",und es gibt nur sechs Einheiten im gesamten Gebäude.
3306,and there are only six units in the whole building.,where's the checkbook? i'm ready to rent it without even seeing it.,und es gibt nur sechs Einheiten im gesamten Gebäude.,i'm ready to rent it without even seeing it.
3307,did you call the manager?,yes. he said he'd come over tomorrow.,hatt ihr den Manager angerufen?,"Ja, er sagte, er werde morgen überstehen."
3308,yes. he said he'd come over tomorrow.,did he say what time?,"Ja, er sagte, er werde morgen überstehen.","hat er gesagt, welche Zeit?"
3309,did he say what time?,yes. he said he'd be here at 9 o'clock.,"hat er gesagt, welche Zeit?","Ja, er sagte, er werde um 21 Uhr hier sein."
3310,yes. he said he'd be here at 9 o'clock.,did he understand what the problem is?,"Ja, er sagte, er werde um 21 Uhr hier sein.","hat er Verständnis dafür, was das Problem ist?"
3311,did he understand what the problem is?,yes. i told him our doorbell doesn't work.,"hat er Verständnis dafür, was das Problem ist?","Sehr freundliches Personal, freundliches Personal, hilfsbereite"
3312,yes. i told him our doorbell doesn't work.,it shouldn't take him long to fix it.,"Sehr freundliches Personal, freundliches Personal, hilfsbereite","es sollte ihm nicht lange dauern, es zu fixieren."
3313,it shouldn't take him long to fix it.,i don't even know why we need to fix it.,"es sollte ihm nicht lange dauern, es zu fixieren.","ich weiß nicht einmal, warum wir es beheben müssen."
3314,i don't even know why we need to fix it.,in case we have visitors.,"ich weiß nicht einmal, warum wir es beheben müssen.",Sollten wir Besucher haben.
3315,in case we have visitors.,but they can just knock on the door.,Sollten wir Besucher haben.,- aber sie können einfach an die Tür klopfen.
3316,but they can just knock on the door.,"actually, i want him to look at our carpet, too.",- aber sie können einfach an die Tür klopfen.,ich möchte ihn auch auf unseren Teppich schauen.
3317,"actually, i want him to look at our carpet, too.","yes, it would be nice if he'd give us a new carpet.",ich möchte ihn auch auf unseren Teppich schauen.,"Sehr freundliches Personal, freundliches Personal, freundliches Personal"
3318,do you like this house?,"yes, it's beautiful.",Magst du dieses Haus?,"ja, es ist schön."
3319,"yes, it's beautiful.",it's perfect for us and the kids.,"ja, es ist schön.",es ist perfekt für uns und die Kinder.
3320,it's perfect for us and the kids.,"three bedrooms, three bathrooms, and a big back yard.",es ist perfekt für uns und die Kinder.,"Drei Schlafzimmer, drei Badezimmer und ein großer Hinterhof."
3321,"three bedrooms, three bathrooms, and a big back yard.",and we can afford it!,"Drei Schlafzimmer, drei Badezimmer und ein großer Hinterhof.",und wir können es sich leisten!
3322,and we can afford it!,so are we going to buy it?,und wir können es sich leisten!,Also werden wir es kaufen?
3323,so are we going to buy it?,i'm afraid not.,Also werden wir es kaufen?,ich fürchte nicht.
3324,i'm afraid not.,"it's too far from your job, isn't it?",ich fürchte nicht.,"es ist zu weit von Ihrer Arbeit entfernt, ist es nicht?"
3325,"it's too far from your job, isn't it?",i can't spend four hours on the road every day.,"es ist zu weit von Ihrer Arbeit entfernt, ist es nicht?",ich kann nicht vier Stunden täglich auf der Straße verbringen.
3326,i can't spend four hours on the road every day.,"by the time you get home, you'll be too tired to even eat.",ich kann nicht vier Stunden täglich auf der Straße verbringen.,", wenn Sie nach Hause kommen, werden Sie zu müde sein, sogar zu"
3327,"by the time you get home, you'll be too tired to even eat.",i won't be able to play with the kids.,", wenn Sie nach Hause kommen, werden Sie zu müde sein, sogar zu","ich werde nicht in der Lage sein, mit den Kindern zu spielen."
3328,i won't be able to play with the kids.,"no, we have to find something closer to your job.","ich werde nicht in der Lage sein, mit den Kindern zu spielen.","Nein, wir müssen etwas näher an Ihrer Arbeit finden."
3329,"boy, it's chilly outside, isn't it?",it sure is.,"ich hoffe, es ist kalt draußen, nicht?",es ist sicher.
3330,it sure is.,"in fact, it's chilly in the apartment, too.",es ist sicher.,es ist nämlich auch kalt in der Wohnung.
3331,"in fact, it's chilly in the apartment, too.",let's turn on the heat.,es ist nämlich auch kalt in der Wohnung.,drehen wir die Hitze ein.
3332,let's turn on the heat.,i'll check to make sure that all the windows are shut.,drehen wir die Hitze ein.,"ich werde überprüfen, ob alle Fenster geschlossen sind."
3333,i'll check to make sure that all the windows are shut.,it should be warmer in a few minutes.,"ich werde überprüfen, ob alle Fenster geschlossen sind.",es sollte in wenigen Minuten wärmer sein.
3334,it should be warmer in a few minutes.,it's so nice to have a heated apartment.,es sollte in wenigen Minuten wärmer sein.,The hotel is very clean and the staff were very helpful.
3335,it's so nice to have a heated apartment.,how did they survive in the old days?,The hotel is very clean and the staff were very helpful.,Wie haben sie in den alten Zeiten überlebt?
3336,how did they survive in the old days?,they had fireplaces.,Wie haben sie in den alten Zeiten überlebt?,"Sehr freundliches Personal, freundliches Personal, zentrale Lage, gute"
3337,they had fireplaces.,someone had to chop the wood.,"Sehr freundliches Personal, freundliches Personal, zentrale Lage, gute",jemand musste das Holz schneiden.
3338,someone had to chop the wood.,and carry it into the house.,jemand musste das Holz schneiden.,und tragen Sie es in das Haus.
3339,and carry it into the house.,all we have to do is flip a switch.,und tragen Sie es in das Haus.,Wir müssen nur einen Schalter drehen.
3340,this is a nice neighborhood.,the streets are clean and quiet.,Das Hotel ist sehr zentral gelegen und hat eine gute Lage.,Die Straßen sind sauber und ruhig.
3341,the streets are clean and quiet.,the neighbors don't party on the weekends.,Die Straßen sind sauber und ruhig.,Die Nachbarn feiern nicht am Wochenende.
3342,the neighbors don't party on the weekends.,people take care of their lawns.,Die Nachbarn feiern nicht am Wochenende.,Menschen kümmern sich um ihre Rasenflächen.
3343,people take care of their lawns.,no rusty old cars are sitting in the front yards.,Menschen kümmern sich um ihre Rasenflächen.,"Leider hat man es nicht geschafft, die ganze Nacht zu t"
3344,no rusty old cars are sitting in the front yards.,we never have to call the police about anything.,"Leider hat man es nicht geschafft, die ganze Nacht zu t",Wir müssen niemals die Polizei über alles anrufen.
3345,we never have to call the police about anything.,our kids are completely safe.,Wir müssen niemals die Polizei über alles anrufen.,Unsere Kinder sind völlig sicher.
3346,our kids are completely safe.,so why are we selling our house?,Unsere Kinder sind völlig sicher.,Warum verkaufen wir unser Haus?
3347,so why are we selling our house?,they're building a 3-story apartment building on the corner.,Warum verkaufen wir unser Haus?,es gibt ein 3-geschossiges Apartmentgebäude an der Ecke.
3348,they're building a 3-story apartment building on the corner.,so we've got to sell before property values go down?,es gibt ein 3-geschossiges Apartmentgebäude an der Ecke.,"so dass wir verkaufen müssen, bevor die Werte gehen?"
3349,so we've got to sell before property values go down?,yes. i still can't believe our city council allowed this building.,"so dass wir verkaufen müssen, bevor die Werte gehen?","Sehr freundliches Personal, freundliches Personal, freundliches Personal"
3350,yes. i still can't believe our city council allowed this building.,they're probably getting something under the table.,"Sehr freundliches Personal, freundliches Personal, freundliches Personal",wahrscheinlich bekommen sie etwas unter den Tisch.
3351,that was a huge fire in santa barbara.,"yes, it was.",es war ein riesiges Feuer in santa barbara.,"ja, das war."
3352,"yes, it was.",they said about 30 houses burned to the ground.,"ja, das war.","Sie sagten, dass etwa 30 Häuser in den Boden verbrannt wurden."
3353,they said about 30 houses burned to the ground.,and they were expensive houses.,"Sie sagten, dass etwa 30 Häuser in den Boden verbrannt wurden.","Sehr freundliches Personal, freundliches Personal, zentrale Lage, gute"
3354,and they were expensive houses.,i feel so sorry for those people.,"Sehr freundliches Personal, freundliches Personal, zentrale Lage, gute",Leider hat es diese Leute so bedauert.
3355,i feel so sorry for those people.,why feel sorry for rich people?,Leider hat es diese Leute so bedauert.,warum fühlen Sie sich leid für reiche Menschen?
3356,why feel sorry for rich people?,i feel sorry for anyone who loses their home.,warum fühlen Sie sich leid für reiche Menschen?,"ich fühle mich entschuldigt für jeden, der ihr Zuhause verliert"
3357,i feel sorry for anyone who loses their home.,"so do i, but not if they're rich.","ich fühle mich entschuldigt für jeden, der ihr Zuhause verliert","so tun i, aber nicht, wenn sie reich sind."
3358,"so do i, but not if they're rich.",what does that have to do with it?,"so tun i, aber nicht, wenn sie reich sind.",Was hat das damit zu tun?
3359,what does that have to do with it?,rich people think they're better than us.,Was hat das damit zu tun?,"reiche Menschen denken, sie seien besser als wir."
3360,rich people think they're better than us.,how many rich people do you know?,"reiche Menschen denken, sie seien besser als wir.",Wie viele reiche Menschen wissen Sie?
3361,how many rich people do you know?,none.,Wie viele reiche Menschen wissen Sie?,Keine.
